ORG_ID,SUPPLIER_NAME,WATER_SYSTEM_ID,COUNTY,HYDRO_REGION,CLIMATE_ZONE,REPORT_PERIOD_START_DATE,REPORT_PERIOD_END_DATE,Shortage Level,DWR_STANDARD_LEVEL
13,City of Adelanto,CA3610001,SAN BERNARDINO,South Lahontan,14,3/1/22,3/31/22,2,2 (10-19% Shortage)
23,Alameda County Water District,CA0110001,ALAMEDA,San Francisco Bay,3,3/1/22,3/31/22,2,2 (10-19% Shortage)
25,Alco Water Service,CA2710001,MONTEREY,Central Coast,3,3/1/22,3/31/22,2,2 (10-19% Shortage)
30,City of Alhambra,CA1910001,LOS ANGELES,South Coast,9,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
55,Amador Water Agency,"CA0310002,CA0310003,CA0310012,CA0310019,CA0310021",AMADOR,San Joaquin River,12,3/1/22,3/31/22,2,2 (10-19% Shortage)
57,City of American Canyon,CA2810005,NAPA,San Francisco Bay,2,3/1/22,3/31/22,2,2 (10-19% Shortage)
64,City of Anaheim,CA3010001,ORANGE,South Coast,8,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
66,City of Anderson,CA4510001,SHASTA,Sacramento River,11,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
82,City of Antioch,CA0710001,CONTRA COSTA,San Joaquin River,12,3/1/22,3/31/22,2,2 (10-19% Shortage)
87,Apple Valley Ranchos Water Company,CA3610003,SAN BERNARDINO,South Lahontan,14,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
93,City of Arcadia,CA1910003,LOS ANGELES,South Coast,9,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
94,City of Arcata,"CA1210001,CA1210021",HUMBOLDT,North Coast,1,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
99,City of Arroyo Grande,CA4010001,SAN LUIS OBISPO,Central Coast,5,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
102,Arvin Community Service District,CA1510001,KERN,Tulare Lake,13,3/1/22,3/31/22,3,3 (20-29% Shortage)
107,Atascadero Mutual Water Company,CA4010002,SAN LUIS OBISPO,Central Coast,4,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
110,City of Atwater,CA2410001,MERCED,San Joaquin River,12,3/1/22,3/31/22,2,2 (10-19% Shortage)
117,Azusa Light and Water,CA1910007,LOS ANGELES,South Coast,9,3/1/22,3/31/22,2,2 (10-19% Shortage)
123,City of Bakersfield,CA1510031,KERN,Tulare Lake,13,3/1/22,3/31/22,2,2 (10-19% Shortage)
124,Bakman Water Company,CA1010001,FRESNO,Tulare Lake,13,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
129,City of Banning,CA3310006,RIVERSIDE,Colorado River,15,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
159,Beaumont - Cherry Valley Water District,CA3310002,RIVERSIDE,South Coast,10,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
167,Bella Vista Water District,CA4510014,SHASTA,Sacramento River,11,3/1/22,3/31/22,5,5 (40-49% Shortage)
170,Bellflower - Somerset Mutual Water Company,CA1910013,LOS ANGELES,South Coast,8,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
178,City of Benicia,CA4810001,SOLANO,San Francisco Bay,12,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
193,City of Beverly Hills,CA1910156,LOS ANGELES,South Coast,9,3/1/22,3/31/22,2,2 (10-19% Shortage)
197,Big Bear Community Services District,CA3610008,SAN BERNARDINO,South Coast,16,3/1/22,3/31/22,2,2 (10-19% Shortage)
198,City of Big Bear Lake,"CA3600283,CA3610022,CA3610044",SAN BERNARDINO,South Coast,16,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
241,City of Blythe,CA3310003,RIVERSIDE,Colorado River,15,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
262,City of Brawley,CA1310001,IMPERIAL,Colorado River,15,3/1/22,3/31/22,2,2 (10-19% Shortage)
263,City of Brea,CA3010002,ORANGE,South Coast,8,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
264,City of Brentwood,CA0710004,CONTRA COSTA,San Joaquin River,12,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
283,City of Buena Park,CA3010003,ORANGE,South Coast,8,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
285,City of Burbank,CA1910179,LOS ANGELES,South Coast,9,3/1/22,3/31/22,2,2 (10-19% Shortage)
286,City of Burlingame,CA4110003,SAN MATEO,San Francisco Bay,3,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
351,Calaveras County Water District,"CA0510004,CA0510005,CA0510006,CA0510016,CA0510017,CA0510019",CALAVERAS,San Joaquin River,16,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
353,City of Calexico,CA1310002,IMPERIAL,Colorado River,15,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
368,California American Water Company - Los Angeles Division,"CA1910052,CA1910139,CA1910186",LOS ANGELES,South Coast,8,3/1/22,3/31/22,2,2 (10-19% Shortage)
369,California American Water Company - Monterey District,"CA2701202,CA2701257,CA2702004,CA2710004,CA2710006,CA2710021,CA2710022",MONTEREY,Central Coast,3,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
372,California American Water Company - Sacramento District,"CA3110150,CA3410010,CA3410012,CA3410013,CA3410017,CA3410031,CA3410045,CA3410047,CA5700712,CA3410023","PLACER,SACRAMENTO,YOLO",Sacramento River,12,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
373,California American Water Company - San Diego District,CA3710001,SAN DIEGO,South Coast,7,3/1/22,3/31/22,2,2 (10-19% Shortage)
376,California American Water Company - Ventura District,"CA5610040,CA5610081",VENTURA,South Coast,9,3/1/22,3/31/22,2,2 (10-19% Shortage)
378,California City,CA1510032,KERN,South Lahontan,14,3/1/22,3/31/22,2,2 (10-19% Shortage)
386,California Water Service Company Bakersfield,"CA1510003,CA1510055",KERN,Tulare Lake,13,3/1/22,3/31/22,2,2 (10-19% Shortage)
387,California Water Service Company Bear Gulch,CA4110006,SAN MATEO,San Francisco Bay,13,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
388,California Water Service Company Chico District,"CA0410002,CA1110002","BUTTE,GLENN",Sacramento River,11,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
390,California Water Service Company Dixon,CA4810002,SOLANO,Sacramento River,12,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
391,California Water Service Company Dominguez,CA1910033,LOS ANGELES,South Coast,6,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
392,California Water Service Company East Los Angeles,CA1910036,LOS ANGELES,South Coast,9,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
396,California Water Service Company Hermosa/Redondo,CA1910134,LOS ANGELES,South Coast,6,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
397,California Water Service Company Kern River Valley,"CA1500407,CA1510026,CA1510033,CA1510039,CA1510043,CA1510049,CA1510056",KERN,Tulare Lake,16,3/1/22,3/31/22,2,2 (10-19% Shortage)
401,California Water Service Company Livermore,CA0110003,ALAMEDA,San Francisco Bay,12,3/1/22,3/31/22,2,2 (10-19% Shortage)
402,California Water Service Company Los Altos/Suburban,CA4310001,SANTA CLARA,San Francisco Bay,4,3/1/22,3/31/22,2,2 (10-19% Shortage)
405,California Water Service Company Marysville,CA5810001,YUBA,Sacramento River,11,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
412,California Water Service Company Oroville,CA0410005,BUTTE,Sacramento River,11,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
413,California Water Service Company Palos Verdes,CA1910104,LOS ANGELES,South Coast,6,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
417,California Water Service Company Salinas District,"CA2701929,CA2710010,CA2710012,CA2710013,CA2710019",MONTEREY,Central Coast,3,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
420,California Water Service Company Mid Peninsula,"CA4110007,CA4110008",SAN MATEO,San Francisco Bay,3,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
421,California Water Service Company Selma,CA1010024,FRESNO,Tulare Lake,13,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
422,California Water Service Company South San Francisco,CA4110009,SAN MATEO,San Francisco Bay,3,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
424,California Water Service Company Stockton,CA3910001,SAN JOAQUIN,San Joaquin River,12,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
427,California Water Service Company Visalia,"CA5400935,CA5410016,CA5410041",TULARE,Tulare Lake,13,3/1/22,3/31/22,2,2 (10-19% Shortage)
428,California Water Service Company Westlake,CA5610016,VENTURA,South Coast,9,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
443,City of Camarillo,CA5610019,VENTURA,South Coast,6,3/1/22,3/31/22,2,2 (10-19% Shortage)
445,Cambria Community Service District,CA4010014,SAN LUIS OBISPO,Central Coast,5,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
467,Camrosa Water District,CA5610063,VENTURA,South Coast,6,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
478,Carlsbad Municipal Water District,CA3710005,SAN DIEGO,South Coast,7,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
481,Carmichael Water District,CA3410004,SACRAMENTO,Sacramento River,12,3/1/22,3/31/22,2,2 (10-19% Shortage)
485,Carpinteria Valley Water District,CA4210001,SANTA BARBARA,Central Coast,6,3/1/22,3/31/22,2,2 (10-19% Shortage)
495,Casitas Municipal Water District,"CA5610014,CA5610024",VENTURA,South Coast,10,3/1/22,3/31/22,4,4 (30-39% Shortage)
522,City of Ceres,CA5010028,STANISLAUS,San Joaquin River,12,3/1/22,3/31/22,2,2 (10-19% Shortage)
524,City of Cerritos,CA1910019,LOS ANGELES,South Coast,8,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
545,City of Chino,CA3610012,SAN BERNARDINO,South Coast,10,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
547,City of Chino Hills,CA3610036,SAN BERNARDINO,South Coast,10,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
561,Citrus Heights Water District,CA3410006,SACRAMENTO,Sacramento River,12,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
572,City of Cloverdale,CA4910002,SONOMA,North Coast,2,3/1/22,3/31/22,3,3 (20-29% Shortage)
574,City of Clovis,CA1010003,FRESNO,Tulare Lake,13,3/1/22,3/31/22,2,2 (10-19% Shortage)
575,City of Coachella,CA3310007,RIVERSIDE,Colorado River,15,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
577,Coachella Valley Water District,"CA3310001,CA3310048",RIVERSIDE,Colorado River,15,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
578,City of Coalinga,CA1010004,FRESNO,Tulare Lake,13,3/1/22,3/31/22,3,3 (20-29% Shortage)
583,Coastside County Water District,CA4110011,SAN MATEO,San Francisco Bay,3,3/1/22,3/31/22,2,2 (10-19% Shortage)
596,City of Colton,CA3610014,SAN BERNARDINO,South Coast,10,3/1/22,3/31/22,3,3 (20-29% Shortage)
607,City of Compton,CA1910026,LOS ANGELES,South Coast,8,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
613,Contra Costa Water District,CA0710003,CONTRA COSTA,San Francisco Bay,12,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
618,City of Corcoran,CA1610004,KINGS,Tulare Lake,13,3/1/22,3/31/22,3,3 (20-29% Shortage)
624,City of Corona,CA3310037,RIVERSIDE,South Coast,10,3/1/22,3/31/22,2,2 (10-19% Shortage)
644,City of Covina,CA1910127,LOS ANGELES,South Coast,9,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
649,Crescent City,CA0810001,DEL NORTE,North Coast,1,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
651,Crescenta Valley Community Water District,CA1910028,LOS ANGELES,South Coast,9,3/1/22,3/31/22,3,3 (20-29% Shortage)
654,Crestline Village Water District,CA3610015,SAN BERNARDINO,South Lahontan,16,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
664,Cucamonga Valley Water District,CA3610018,SAN BERNARDINO,South Coast,10,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
673,Daly City,CA4110013,SAN MATEO,San Francisco Bay,3,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
678,City of Davis,CA5710001,YOLO,Sacramento River,12,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
699,Del Oro Water Company,CA0410011,BUTTE,Sacramento River,11,3/1/22,3/31/22,2,2 (10-19% Shortage)
711,City of Delano,CA1510005,KERN,Tulare Lake,13,3/1/22,3/31/22,2,2 (10-19% Shortage)
727,Desert Water Agency,CA3310005,RIVERSIDE,Colorado River,15,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
731,Diablo Water District,CA0710007,CONTRA COSTA,San Joaquin River,12,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
737,City of Dinuba,CA5410002,TULARE,Tulare Lake,13,3/1/22,3/31/22,2,2 (10-19% Shortage)
739,Discovery Bay Community Services District,CA0710009,CONTRA COSTA,San Joaquin River,12,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
748,City of Downey,CA1910034,LOS ANGELES,South Coast,8,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
759,Dublin San Ramon Services District,CA0110009,ALAMEDA,San Francisco Bay,12,3/1/22,3/31/22,2,2 (10-19% Shortage)
775,East Bay Municipal Utility District,CA0110005,ALAMEDA,San Francisco Bay,3,3/1/22,3/31/22,5,5 (40-49% Shortage)
784,East Niles Community Services District,CA1510006,KERN,Tulare Lake,13,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
787,City of East Palo Alto,CA4110024,SAN MATEO,San Francisco Bay,3,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
793,East Valley Water District,CA3610064,SAN BERNARDINO,South Coast,10,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
794,Eastern Municipal Water District,CA3310009,RIVERSIDE,South Coast,10,3/1/22,3/31/22,3,3 (20-29% Shortage)
814,City of El Centro,CA1310004,IMPERIAL,Colorado River,15,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
816,El Dorado Irrigation District,"CA0910001,CA0910017,CA0910018",EL DORADO,Sacramento River,12,3/1/22,3/31/22,2,2 (10-19% Shortage)
821,City of El Monte,CA1910038,LOS ANGELES,South Coast,9,3/1/22,3/31/22,3,3 (20-29% Shortage)
827,City of El Segundo,CA1910040,LOS ANGELES,South Coast,6,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
830,El Toro Water District,CA3010079,ORANGE,South Coast,8,3/1/22,3/31/22,2,2 (10-19% Shortage)
835,Elk Grove Water District,CA3410008,SACRAMENTO,Sacramento River,12,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
842,Elsinore Valley Municipal Water District,CA3310012,RIVERSIDE,South Coast,10,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
851,City of Escondido,CA3710006,SAN DIEGO,South Coast,10,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
856,Estero Municipal Improvement District,CA4110021,SAN MATEO,San Francisco Bay,3,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
859,City of Eureka,CA1210004,HUMBOLDT,North Coast,1,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
863,City of Exeter,CA5410003,TULARE,Tulare Lake,13,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
866,Fair Oaks Water District,CA3410009,SACRAMENTO,Sacramento River,12,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
867,City of Fairfield,CA4810003,SOLANO,Sacramento River,12,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
873,Fallbrook Public Utility District,CA3710008,SAN DIEGO,South Coast,10,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
890,City of Fillmore,CA5610002,VENTURA,South Coast,9,3/1/22,3/31/22,3,3 (20-29% Shortage)
904,City of Folsom,"CA3410014,CA3410030",SACRAMENTO,Sacramento River,12,3/1/22,3/31/22,2,2 (10-19% Shortage)
920,City of Fortuna,CA1210006,HUMBOLDT,North Coast,1,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
924,City of Fountain Valley,CA3010069,ORANGE,South Coast,6,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
934,City of Fresno,CA1010007,FRESNO,Tulare Lake,13,3/1/22,3/31/22,2,2 (10-19% Shortage)
967,City of Fullerton,CA3010010,ORANGE,South Coast,8,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
972,City of Galt,CA3410011,SACRAMENTO,Sacramento River,12,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
977,City of Garden Grove,CA3010062,ORANGE,South Coast,8,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
990,Georgetown Divide Public Utility District,CA0910013,EL DORADO,Sacramento River,12,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
995,City of Gilroy,CA4310004,SANTA CLARA,Central Coast,4,3/1/22,3/31/22,3,3 (20-29% Shortage)
1004,City of Glendale,CA1910043,LOS ANGELES,South Coast,9,3/1/22,3/31/22,3,3 (20-29% Shortage)
1005,City of Glendora,CA1910044,LOS ANGELES,South Coast,9,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
1029,Golden State Water Company - Artesia,CA1910004,LOS ANGELES,South Coast,8,3/1/22,3/31/22,2,2 (10-19% Shortage)
1030,Golden State Water Company - Barstow,CA3610043,SAN BERNARDINO,South Lahontan,14,3/1/22,3/31/22,2,2 (10-19% Shortage)
1031,Golden State Water Company - Bay Point,CA0710002,CONTRA COSTA,San Francisco Bay,12,3/1/22,3/31/22,2,2 (10-19% Shortage)
1032,Golden State Water Company - Bell-Bell Gardens,CA1910011,LOS ANGELES,South Coast,8,3/1/22,3/31/22,2,2 (10-19% Shortage)
1034,Golden State Water Company - Claremont,CA1910024,LOS ANGELES,South Coast,9,3/1/22,3/31/22,2,2 (10-19% Shortage)
1036,Golden State Water Company - Cordova,CA3410015,SACRAMENTO,Sacramento River,12,3/1/22,3/31/22,2,2 (10-19% Shortage)
1038,Golden State Water Company - Culver City,CA1910030,LOS ANGELES,South Coast,8,3/1/22,3/31/22,2,2 (10-19% Shortage)
1041,Golden State Water Company - Florence Graham,CA1910077,LOS ANGELES,South Coast,8,3/1/22,3/31/22,2,2 (10-19% Shortage)
1049,Golden State Water Company - Norwalk,CA1910098,LOS ANGELES,South Coast,9,3/1/22,3/31/22,2,2 (10-19% Shortage)
1052,Golden State Water Company - Orcutt,CA4210016,SANTA BARBARA,Central Coast,5,3/1/22,3/31/22,2,2 (10-19% Shortage)
1053,Golden State Water Company - Placentia,CA3010035,ORANGE,South Coast,8,3/1/22,3/31/22,2,2 (10-19% Shortage)
1054,Golden State Water Company - San Dimas,CA1910142,LOS ANGELES,South Coast,9,3/1/22,3/31/22,2,2 (10-19% Shortage)
1057,Golden State Water Company - Simi Valley,CA5610059,VENTURA,South Coast,9,3/1/22,3/31/22,2,2 (10-19% Shortage)
1058,Golden State Water Company - South Arcadia,CA1910212,LOS ANGELES,South Coast,9,3/1/22,3/31/22,2,2 (10-19% Shortage)
1059,Golden State Water Company - South San Gabriel,CA1910223,LOS ANGELES,South Coast,9,3/1/22,3/31/22,2,2 (10-19% Shortage)
1060,Golden State Water Company - Southwest,CA1910155,LOS ANGELES,South Coast,8,3/1/22,3/31/22,2,2 (10-19% Shortage)
1062,Golden State Water Company - West Orange,CA3010022,ORANGE,South Coast,8,3/1/22,3/31/22,2,2 (10-19% Shortage)
1068,Goleta Water District,CA4210004,SANTA BARBARA,Central Coast,6,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
1083,Great Oaks Water Company Incorporated,CA4310022,SANTA CLARA,San Francisco Bay,4,3/1/22,3/31/22,2,2 (10-19% Shortage)
1093,City of Greenfield,CA2710008,MONTEREY,Central Coast,13,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
1094,Greenfield County Water District,CA1510024,KERN,Tulare Lake,4,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
1109,Groveland Community Services District,CA5510009,TUOLUMNE,San Joaquin River,12,3/1/22,3/31/22,2,2 (10-19% Shortage)
1110,City of Grover Beach,CA4010004,SAN LUIS OBISPO,Central Coast,5,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
1125,City of Hanford,CA1610003,KINGS,Tulare Lake,13,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
1142,City of Hawthorne,CA1910047,LOS ANGELES,South Coast,8,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
1143,City of Hayward,CA0110006,ALAMEDA,San Francisco Bay,3,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
1144,City of Healdsburg,CA4910005,SONOMA,North Coast,2,3/1/22,3/31/22,2,2 (10-19% Shortage)
1154,Helix Water District,CA3710010,SAN DIEGO,South Coast,10,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
1157,City of Hemet,CA3310016,RIVERSIDE,South Coast,10,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
1166,Hesperia Water District,CA3610024,SAN BERNARDINO,South Lahontan,14,3/1/22,3/31/22,2,2 (10-19% Shortage)
1167,Hi Desert Water District,CA3610073,SAN BERNARDINO,Colorado River,14,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
1181,Hillsborough Town of,CA4110016,SAN MATEO,San Francisco Bay,3,3/1/22,3/31/22,2,2 (10-19% Shortage)
1188,City of Hollister,CA3510001,SAN BENITO,Central Coast,4,3/1/22,3/31/22,2,2 (10-19% Shortage)
1210,Humboldt Community Services District,CA1210009,HUMBOLDT,North Coast,1,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
1215,City of Huntington Beach,CA3010053,ORANGE,South Coast,6,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
1217,City of Huntington Park,CA1910049,LOS ANGELES,South Coast,8,3/1/22,3/31/22,2,2 (10-19% Shortage)
1225,City of Imperial,CA1310006,IMPERIAL,Colorado River,15,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
1234,Indian Wells Valley Water District,CA1510017,KERN,South Lahontan,14,3/1/22,3/31/22,2,2 (10-19% Shortage)
1236,City of Indio,CA3310020,RIVERSIDE,Colorado River,15,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
1238,City of Inglewood,CA1910051,LOS ANGELES,South Coast,8,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
1245,Irvine Ranch Water District,CA3010092,ORANGE,South Coast,8,3/1/22,3/31/22,2,2 (10-19% Shortage)
1270,Joshua Basin Water District,CA3610025,SAN BERNARDINO,Colorado River,14,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
1273,Jurupa Community Service District,CA3310021,RIVERSIDE,South Coast,10,3/1/22,3/31/22,2,2 (10-19% Shortage)
1286,City of Kerman,CA1010018,FRESNO,Tulare Lake,13,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
1304,City of Kingsburg,CA1010019,FRESNO,Tulare Lake,13,3/1/22,3/31/22,2,2 (10-19% Shortage)
1324,City of La Habra,CA3010018,ORANGE,South Coast,8,3/1/22,3/31/22,2,2 (10-19% Shortage)
1327,City of La Palma,CA3010100,ORANGE,South Coast,8,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
1333,City of La Verne,CA1910062,LOS ANGELES,South Coast,9,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
1335,Laguna Beach County Water District,CA3010017,ORANGE,South Coast,6,3/1/22,3/31/22,2,2 (10-19% Shortage)
1343,Lake Arrowhead Community Services District,CA3610005,SAN BERNARDINO,South Lahontan,16,3/1/22,3/31/22,3,3 (20-29% Shortage)
1352,Lake Hemet Municipal Water District,CA3310022,RIVERSIDE,South Coast,10,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
1368,Lakeside Water District,CA3710013,SAN DIEGO,South Coast,10,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
1370,City of Lakewood,CA1910239,LOS ANGELES,South Coast,8,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
1371,Lamont Public Utility District,CA1510012,KERN,Tulare Lake,13,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
1384,Las Virgenes Municipal Water District,CA1910225,LOS ANGELES,South Coast,6,3/1/22,3/31/22,3,3 (20-29% Shortage)
1408,Temescal Valley Water District,CA3310074,RIVERSIDE,South Coast,10,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
1415,City of Lemoore,CA1610005,KINGS,Tulare Lake,13,3/1/22,3/31/22,3,3 (20-29% Shortage)
1424,City of Lincoln,CA3110004,PLACER,Sacramento River,11,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
1425,Lincoln Avenue Water Company,CA1910063,LOS ANGELES,South Coast,9,3/1/22,3/31/22,2,2 (10-19% Shortage)
1427,Linda County Water District,CA5810002,YUBA,Sacramento River,11,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
1443,City of Livermore,CA0110011,ALAMEDA,San Francisco Bay,12,3/1/22,3/31/22,2,2 (10-19% Shortage)
1444,City of Livingston,CA2410004,MERCED,San Joaquin River,12,3/1/22,3/31/22,2,2 (10-19% Shortage)
1450,City of Lodi,CA3910004,SAN JOAQUIN,San Joaquin River,12,3/1/22,3/31/22,2,2 (10-19% Shortage)
1452,City of Loma Linda,CA3610013,SAN BERNARDINO,South Coast,10,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
1456,City of Lomita,CA1910073,LOS ANGELES,South Coast,6,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
1459,City of Lompoc,CA4210006,SANTA BARBARA,Central Coast,5,3/1/22,3/31/22,2,2 (10-19% Shortage)
1464,City of Long Beach,CA1910065,LOS ANGELES,South Coast,6,3/1/22,3/31/22,2,2 (10-19% Shortage)
1473,Los Angeles City Department of Water And Power,CA1910067,LOS ANGELES,South Coast,9,3/1/22,3/31/22,2,2 (10-19% Shortage)
1481,Los Angeles County Waterworks District 29 - Malibu & Marina Del Rey,CA1910204,LOS ANGELES,South Coast,6,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
1484,Los Angeles County Waterworks District 40 - Antelope Valley,"CA1910005,CA1910025,CA1910027,CA1910070,CA1910203",LOS ANGELES,South Lahontan,14,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
1487,City of Los Banos,CA2410005,MERCED,San Joaquin River,12,3/1/22,3/31/22,2,2 (10-19% Shortage)
1506,City of Lynwood,CA1910079,LOS ANGELES,South Coast,8,3/1/22,3/31/22,2,2 (10-19% Shortage)
1510,City of Madera,CA2010002,MADERA,San Joaquin River,13,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
1533,Mammoth Community Water District,CA2610001,MONO,South Lahontan,16,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
1536,City of Manhattan Beach,CA1910083,LOS ANGELES,South Coast,6,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
1539,City of Manteca,CA3910005,SAN JOAQUIN,San Joaquin River,12,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
1546,Marin Municipal Water District,CA2110002,MARIN,San Francisco Bay,3,3/1/22,3/31/22,4,4 (30-39% Shortage)
1547,Marina Coast Water District,CA2710017,MONTEREY,Central Coast,3,3/1/22,3/31/22,2,2 (10-19% Shortage)
1554,City of Martinez,CA0710006,CONTRA COSTA,San Francisco Bay,12,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
1570,McKinleyville Community Services District,CA1210016,HUMBOLDT,North Coast,1,3/1/22,3/31/22,0,0 (No Shortage Level Invoked)
1587,City of Menlo Park,CA4110017,SAN MATEO,San Francisco Bay,3,3/1/22,3/31/22,1,1 (Less than 10% Shortage)
1589,City of Merced,CA2410009,MERCED,San Joaquin River,12,3/1/22,3/31/22,2,2 (10-19% Shortage)
